time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	1.18481e-303	0	0	0	0	0	0
1477010443349642	0.001	0.001	0	0	0	radar	6.94911e-308	0	0	0	0	0	0
1477010444349642	1.54373	-0.135432	0.925463	2.00932e-017	-1.48629e-017	lidar	1.10755	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.54373	-0.135432	0.925463	2.00932e-017	-1.48629e-017	radar	6.94911e-308	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.85112	-0.134278	3.2283	0.00477242	0.00186642	lidar	4.11105	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.85112	-0.134278	3.2283	0.00477242	0.00186642	radar	6.94911e-308	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.83773	0.40759	4.10604	0.866728	0.304715	lidar	2.31416	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.83773	0.40759	4.10604	0.866728	0.304715	radar	6.94911e-308	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.0939	0.648541	1.43063	0.601194	0.00646257	lidar	7.36472	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.0939	0.648541	1.43063	0.601194	0.00646257	radar	6.94911e-308	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5018	1.69009	2.7624	0.147988	-0.282112	lidar	4.2625	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5018	1.69009	2.7624	0.147988	-0.282112	radar	6.94911e-308	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6099	2.296	2.21527	0.138896	-0.144574	lidar	0.844968	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6099	2.296	2.21527	0.138896	-0.144574	radar	6.94911e-308	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6166	2.87067	3.17768	0.197434	-0.0226214	lidar	1.79246	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.6166	2.87067	3.17768	0.197434	-0.0226214	radar	6.94911e-308	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.033	3.69607	2.54995	0.319726	0.0641535	lidar	0.750121	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.033	3.69607	2.54995	0.319726	0.0641535	radar	6.94911e-308	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3347	4.7205	2.57026	0.467039	0.117098	lidar	0.097918	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3347	4.7205	2.57026	0.467039	0.117098	radar	6.94911e-308	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0522	5.59581	2.87691	0.295705	-0.0577042	lidar	1.14836	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.0522	5.59581	2.87691	0.295705	-0.0577042	radar	6.94911e-308	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6122	6.93072	2.91114	0.508887	0.107768	lidar	0.892423	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6122	6.93072	2.91114	0.508887	0.107768	radar	6.94911e-308	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
